Item #,Title,Image URL,Description,Characters,Character-centric,Type,Tags,Price ($),Series,Number of Items,Discount,Collaboration
295647,Pompompurin Mini Pouch Charm (Spring Bunny Series),https://www.sanrio.com/cdn/shop/files/zz-2502295396_PN_--1_800x.jpg?v=1739989351,"The flowers are blooming, and the time is changing (right on time don’t ya think?), as we welcome the beginning of spring! Enjoy a vibrant and soft collection of bunny-themed pieces made for warmer days, friendship, and fun.",Pompompurin,Pompompurin,Accessory,"accessory, charm, pouch charm, mini pouch charm, bunny, poly, nylon, embroidered, orange, yellow",12.99,Spring Bunny,Single,8,None
822230,Pompompurin Plush Mascot Clip (Ash Monochrome Series),https://www.sanrio.com/cdn/shop/files/original_1_49aa232c-f328-427c-993c-279b5c079419_800x.jpg?v=1747343652,"The word for ""grey"" in Japanese is 灰色 (haiiro), which translates to ""ash color”. Enjoy a monochromatic take on our mascot clips, featuring contrasting tones, soft plush textures, and a unique take on our favorite Sanrio Characters!",Pompompurin,Pompompurin,Accessory,"accessory, clip, plush clip, embroidered, black, gray",24,Ash Monochrome,Single,0,None
432571,Pompompurin Plush Mascot Bag Charm (Snow Bunny Series),https://www.sanrio.com/cdn/shop/files/original_1_e78bf281-838b-45ae-a7dd-bbd8d4aa5360_800x.jpg?v=1733870145,"Soft as snow, fluffy puffs amidst the winter floor. Enjoy an adorable bunny series reminiscent of snowy scenery, featuring your favorite Sanrio Characters! Metallic touches, burled, and tactile textures make these bags, small accessories, and stunning plush - a series to set the winter mood.",Pompompurin,Pompompurin,Accessory,"accessory, charm, bag charm, plush bag charm, bunny, embroidered, yellow, white, gray",29,Snow Bunny,Single,0,None
494038,Pompompurin Mascot Photo Holder Charm,https://www.sanrio.com/cdn/shop/files/zz-2503493775_PN_--1_800x.jpg?v=1741804146,Show off your unique style with these cute photo holders that can conveniently clip onto your keychain or bag. Flaunt your love for your favorite Sanrio Character while displaying trading cards or a special snapshot from a pal!,Pompompurin,Pompompurin,Accessory,"accessory, photo holder charm, photo holder, charm, pvc, gray, yellow, orange",8.99,None,Single,0,None
532843,"Chococat 10"" Seasons of Friendship Plush (Fall)",https://www.sanrio.com/cdn/shop/files/532843-Zoom.1_800x.jpg?v=1729630617,"Let’s celebrate the changing seasons with Hello Kitty and Friends. From blooming flowers, fun in the sun, cooler temps, and falling leaves — This limited-edition plush series features a nod to retro parachute “swishy” fabric and monochromatic ditty prints, sure to spread joy amongst our friendly fans!",Chococat,Chococat,Plush,"plush, 10'' plush, fall, embroidered, brown, orange",24,None,Single,14.01,None
7725990_19636,Chococat Olive Nordic Sweater,https://www.sanrio.com/cdn/shop/files/classic-fit-knitted-crew-neck-sweater-custom-s-front-67636c28e4fbc_800x.jpg?v=1734569013,"Get cozy and enjoy the retro stylings of this classic Nordic sweater featuring Chococat! This extra-soft sweater features a supercute Fair Isle pattern with a Sanrio touch—snowflakes, hearts, and his favorite, fish of course! Versatile and fun, layer with a coat or pair it with jeans for a relaxed and timeless winter look!",Chococat,Chococat,Apparel,"apparel, sweater, nordic sweater, cotton, polyester, gray",54,None,Single,0,None
27995,Chococat Classic Plush Backpack,https://www.sanrio.com/cdn/shop/files/197394967153_800x.png?v=1717109514,Cool like Chococat! Bring a bit of flair on your daily adventures with this plush backpack! Bold 3D details make this backpack stand out while a secret mini zip pocket keeps keys and smaller items close by!,Chococat,Chococat,Backpack,"backpack, plush, plush backpack, embroidered, black",34.99,None,Single,20,None
933368,Chococat x Tokidoki Large Sticker (Pumpkin Spice Harvest),https://www.sanrio.com/cdn/shop/files/tokidoki-x-hello-kitty-and-friends-pumpkin-spice-chococat-sticker-02_800x.jpg?v=1757084922,"Fall in love with the warm vibes of the season with the Tokidoki x Hello Kitty and Friends Pumpkin Spice Novelty Collection! From pumpkin-spiced cuteness to autumn-inspired charm, Tokidoki x Hello Kitty and Friends are here to inspire your style!",Chococat,Chococat,Stationery,"stationery, stickers, fall, orange, black, white",6.99,None,Single,0,Tokidoki
905224,Chococat x JapanLA Flowers Embroidered Knit Cardigan,https://www.sanrio.com/cdn/shop/files/Chococat-05_800x.jpg?v=1757965911,"A special collaboration piece between Sanrio and JapanLA! Stay cozy and cute in the Chococat JapanLA Cardigan! This super soft charcoal knit cardigan has two front pockets, one with an embroidered white fish and the other with a woven JapanLA logo tag.",Chococat,Chococat,Apparel,"apparel, cardigan, knit cardigan, embroidered, cotton, acrylic",100,None,Single,0,JapanLA
907332,Chococat x JapanLA Flowers Leg Warmers,https://www.sanrio.com/cdn/shop/files/ChococatLegwarmer-01_800x.jpg?v=1757372028,"A special collaboration piece between Sanrio and JapanLA! Look cozy and cute in the Chococat JapanLA Leg Warmers! Made from soft knit charcoal fabric with an elastic band on top to keep them snug and comfortable. Each leg warmer features a removable chain with three cute Chococat themed charms, a classic white fish, pink letter ""C"", and Chococat's face. The perfect accessory for chilly days or just showing off your love for Chococat!",Chococat,Chococat,Accessory,"accessory, leg warmers, charm, cotton, acrylic, black",30,None,Single,0,JapanLA
498432,Chococat 2-Way Throw Pillow (Home Essentials Series),https://www.sanrio.com/cdn/shop/files/498432-Zoom.1_800x.jpg?v=1736207236,Spruce up your space with the cutest home essentials! This comfy throw pillow checks all the boxes and reps your favorite character while you take a restful nap!,Chococat,Chococat,Home Goods,"home goods, pilow, throw pillow, black, orange",58,Home Essentials,Single,10,None
500461,Chococat Accent Rug (Home Essentials Series),https://www.sanrio.com/cdn/shop/files/500461-Zoom.1_800x.jpg?v=1748047953,"Spruce up your space with the cutest home essentials! This plush rug featuring Chococat and one of his pals from the Duckies crew, checks all the boxes— Binding around the edges adds durability while the vibrant design gives a pop of color to any room.",Chococat,Chococat,Home Goods,"home goods, rug, accent rug, brown, black",32,Home Essentials,Single,0,None
500551,Chococat Adult Slippers (Home Essentials Series),https://www.sanrio.com/cdn/shop/files/500551-Zoom.3_800x.jpg?v=1736207777,"Spruce up your space with the cutest home essentials! With a cozy feel and fun character details, lounging around with these slippers feels so much more relaxing!",Chococat,Chococat,Shoes,"shoes, slippers, adult slippers, poly-blend, embroidered, brown, black",34,Home Essentials,Single,5,None
957721,Chococat Vinyl Snap Wallet,https://www.sanrio.com/cdn/shop/files/957721-Zoom.1_800x.jpg?v=1701900083,"Ready for a bit of brand nostalgia? Almost everyone remembers their first time inside a Sanrio store and chances are you may have had one of these iconic accessories - the legendary, classic vinyl snap wallet.",Chococat,Chococat,Accessory,"accessory, wallet, snap wallet, pvc, vinyl, orange, brown",12,None,Single,0,None
640557,"Chococat 10"" Western Rodeo Plush",https://www.sanrio.com/cdn/shop/files/640557-Zoom.1_800x.jpg?v=1730315701,"Grab your boots and cowboy hat, folks we’re going to an old-fashioned rodeo! Imagine yourself sitting in the stands with a delicious concessions treat, watching barrel racing and thrilling roping competitions—but make it Sanrio! See your favorite characters decked out in adorable Western wear fit for giggling, galavanting, and riding into the sunset!",Chococat,Chococat,Plush,"plush, 10'' plush, embroidered, purple",38,Western,Single,10,None
310182,"Chococat x Baggu 8"" Puffy Tablet Sleeve (Western)",https://www.sanrio.com/cdn/shop/files/Puffy_Tablet_Sleeve_8__Ripstop_Chococat_Western_01_800x.jpg?v=1759356746,Your tablet does so much for you. Doesn’t it deserve a cozy place to live? Baggu's puffy tablet sleeve is quilted and stuffed to provide your tablet with just enough padding for comfortable rides.,Chococat,Chococat,Accessory,"accessory, tablet sleeve, quilted, nylon, purple",22,Western,Single,0,None
315494,Chococat x Baggu Standard Baggu (Western),https://www.sanrio.com/cdn/shop/files/MXStandard_1200x.png?v=1759357674,"Baggu's best selling reusable bag isn't just for the grocery store, it goes everywhere and hauls almost anything.",Chococat,Chococat,Bags,"bag, baggu, standard baggu, nylon, purple, black, red",14,Western,Single,0,Baggu
504602,"Chococat 12"" Plush (Winter Puffer Series)",https://www.sanrio.com/cdn/shop/files/504602-Zoom.1_1200x.jpg?v=1732126833,"Bundle up and let’s stay cozy with your favorite Sanrio Characters! These winter-themed plush feature everyone in puffer jackets with the most adorable hoods framing each character’s face. Perfect for gifting, you’ll want to add these to your holiday wish list!",Chococat,Chococat,Plush,"plush, 12'' plush, winter, quilted, embroidered, black, blue",45,Winter Puffer,Single,25.01,None
540439,"Chococat 10"" Holiday Snowman Plush",https://www.sanrio.com/cdn/shop/files/2024_11_11_Snowman_Plush_Chococat_1200x.jpg?v=1731368801,"A Sanrio Online Exclusive—Oh, what fun it is to gather and play while building a snowman, especially with your Sanrio friends! These delightful monochromatic plushies, feature a rounded “snowman” shape, cozy boucle texture, and a coordinating scarf—perfect for brightening up your holiday decor or gift to a loved one!",Chococat,Chococat,Plush,"plush, 10'' plush, winter, embroidered, white",28,None,Single,3.01,None
969435,Chococat Plush Mascot Clip (Snow Angel Series),https://www.sanrio.com/cdn/shop/files/969435-Zoom.1_1200x.jpg?v=1761155864,"As the saying goes, “No two snowflakes are alike” and playing in the winter snow is plenty of fun with your favorite Sanrio Characters! These angel-themed mascots adorned with their very own snowflake and matching wings are sure to warm your heart during the colder months!",Chococat,Chococat,Accessory,"accessory, clip, plush clip, winter, embroidered, black, blue",26,Snow Angel,Single,0,None
489476,"Chococat 2025 Halloween 8"" Plush (Kuromi 20th Anniv.)",https://www.sanrio.com/cdn/shop/files/489476-Zoom.1_800x.jpg?v=1755110216,"Celebrate Kuromi’s 20th Anniversary and her favorite holiday with a spooky-cute crew of your favorite Sanrio Characters! These ultra-soft plushies are dressed as their cheeky yet charming friend, each giving a fun nod to the Halloween spirit. Perfect for gifting, they’re ready to add a playful and fun touch to your holiday decor!",None,"Chococat, Kuromi",Plush,"plush, 8'' plush, halloween, embroidered, black",19.99,Kuromi 20th Anniv,Single,0,None
470171,Chococat 2025 Halloween Treat Bag,https://www.sanrio.com/cdn/shop/files/470171-Zoom.1_800x.jpg?v=1758062191,"Grab your friends and dress up—it’s time for some trick-or-treating fun! Hello Kitty and Friends are ready for spooky adventures, especially when candy and treats are part of the excitement. These spooky goodie bags are perfect for holding all your Halloween treasures. Pick one or collect them all to celebrate one of the best holidays—Halloween!",Chococat,Chococat,Bags,"bag, treat bag, halloween, nylon, orange, black, purple",9.99,None,Single,3,None
917401,"Chococat 10"" Plush (Spooky Dress Series)",https://www.sanrio.com/cdn/shop/files/917401-Zoom.1_800x.jpg?v=1755562841,"Get dressed up for Halloween, but make it spooky! Outfitted in eerie gothic ruffles, cobwebs, and mini bat motifs capes, your favorite Sanrio Characters make the case that going all out for the most frightful time of the year is a scary-cute idea!",Chococat,Chococat,Plush,"plush, 10'' plush, halloween, embroidered, black, blue",29.99,Spooky Dress,Single,18.01,None
918245,Chococat Mascot Clip (Spooky Dress Series),https://www.sanrio.com/cdn/shop/files/918245-Zoom.1_800x.jpg?v=1755563008,"Get dressed up for Halloween, but make it spooky! Outfitted in eerie gothic ruffles, cobwebs, and mini bat motifs capes, your favorite Sanrio Characters make the case that going all out for the most frightful time of the year is a scary-cute idea!",Chococat,Chococat,Accessory,"accessory, clip, plush clip, halloween, embroidered, black, blue",28,Spooky Dress,Single,0,None
884910,"Chococat 8"" Plush (School Uniform Series)",https://www.sanrio.com/cdn/shop/files/884910-Zoom.1_800x.jpg?v=1758145226,Welcome to the University of CUTE! Let’s head to class and walk the halls with the Sanrio crew! Welcome to the University of CUTE! Let’s head to class and walk the halls with the Sanrio crew! Chococat is dressed in fancy collegiate blazer and bow tie - ready to hit the books! These plushies make great gifts to a fan starting school or a soon-to-be grad!,Chococat,Chococat,Plush,"plush, 8'' plush, embroidered, black, blue",36,School Uniform,Single,0,None
884928,Chococat Mascot Clip (School Uniform Series),https://www.sanrio.com/cdn/shop/files/884928-Zoom.1_800x.jpg?v=1758145362,"Welcome to the University of CUTE! Let’s head to class and walk the halls with the Sanrio crew! Chococat is dressed in fancy collegiate blazer and bow tie - ready to hit the books! Clip this mascot to a tote, purse, or a set of keys for a little flair!",Chococat,Chococat,Accessory,"accessory, clip, plush clip, embroidered, black, blue",26,School Uniform,Single,0,None
916030,Kuromi's x Sugarfina Halloween Haunted House Tasting Collection,https://www.sanrio.com/cdn/shop/files/840278193857-1_800x.jpg?v=1759961579,"Welcome to Kuromi's spooktacular world where sweet surprises and mischievous treats await. This haunted house is brimming with delectable delights, handpicked by Kuromi herself to add a dash of spooky fun to your day!","Kuromi, Hello Kitty, Chococat, Melody, Pompompurin, Keroppi, Cinnamonroll",Kuromi,Seasonal,"candy, halloween, set",35,,Multiple,0,Sugarfina
859737,"Chococat 12"" Plush (Something Blue Series)",https://www.sanrio.com/cdn/shop/files/859737-Zoom.1_800x.jpg?v=1751392726,"Adorned with frilly lace and bows, a collection with something blue, just for you! Enjoy your Sanrio faves in large plush, bean dolls —posed with a heart in hand, while the matching mascot clips are a sure way to make your bag or keys just as swell as a bluebell!",Chococat,Chococat,Plush,"plush, 12'' plush, embroidered, black, blue",49,Something Blue,Single,0,None
862193,Chococat Bean Doll Plush (Something Blue Series),https://www.sanrio.com/cdn/shop/files/862193-Zoom.1_800x.jpg?v=1751391940,"Adorned with frilly lace and bows, a collection with something blue, just for you! Enjoy your Sanrio faves in large plush, bean dolls —posed with a heart in hand, while the matching mascot clips are a sure way to make your bag or keys just as swell as a bluebell!",Chococat,Chococat,Plush,"plush, bean doll plush, bean stuffing, embroidered, blue, black",29,Something Blue,Single,0,None
862517,Chococat Plush Mascot Clip (Something Blue Series),https://www.sanrio.com/cdn/shop/files/862517-Zoom.2_800x.jpg?v=1751391684,"Adorned with frilly lace and bows, a collection with something blue, just for you! Enjoy your Sanrio faves in large plush, bean dolls —posed with a heart in hand, while the matching mascot clips are a sure way to make your bag or keys just as swell as a bluebell!",Chococat,Chococat,Accessory,"accessory, clip, plush clip, embroidered, black, blue",24,Something Blue,Single,0,None
175650,Chococat Mini Mascot Keychain (Sanrio Character Award Series),https://www.sanrio.com/cdn/shop/files/zz-2504174459_CO_--1_800x.jpg?v=1746122922,"I’ll adore you with all my heart! Clip this adorable plush mascot to a bag or tote and even use it as decor. The colorful clip attachment is shaped like a heart, sure to bring a smile every time you catch a glance!",Chococat,Chococat,Accessory,"accessory, keychain, plush keychain, black",14.99,Sanrio Character Award,Single,0,None
838438,"Chococat 10"" Plush (Pastel Bear Series)",https://www.sanrio.com/cdn/shop/files/838438-Zoom.1_800x.jpg?v=1750455267,"Extra fluffy with textured plush, your favorite Sanrio Characters are dressed as bears in this cozy series. Ruffled collars, ribbons, and pastel teddy bear accents adorn these plushies that make great gifts or for yourself too!",Chococat,Chococat,Plush,"plush, 10'' plush, embroidered, blue, black, purple",50,Pastel Bear,Single,0,None
839337,Chococat Plush Mascot Clip (Pastel Bear Series),https://www.sanrio.com/cdn/shop/files/839337-Zoom.2_800x.jpg?v=1750455310,"Extra fluffy with textured plush, your favorite Sanrio Characters are dressed as bears in this cozy series. Ruffled collars, ribbons, and pastel teddy bear accents adorn these plushies that make great gifts or for yourself too!",Chococat,Chococat,Accessory,"accessory, clip, plush clip, embroiderd, blue, purple, black",27,Pastel Bear,Single,0,None
689351,"Chococat 8"" Plush (Pastel Sailor Series)",https://www.sanrio.com/cdn/shop/files/689351-Zoom.1_800x.jpg?v=1747161081,"Ready to set sail? This maritime-themed plush series features your favorite Sanrio Characters in adorable sailor outfits. Dressed for the seven seas, they come complete with a mini hat and a matching scarf. So say bon voyage and let the fun begin!",Chococat,Chococat,Plush,"plush, 8'' plush, embroiderd, black, blue, white",38,Pastel Sailor,Single,8.01,None
466336,Chococat Plush Mini Face Pouch (Sanrio Cat Club Series),https://www.sanrio.com/cdn/shop/files/zz-2502466310_CO_--1_800x.jpg?v=1738896392,"A series that is just purr-fect for cat lovers! Enjoy some of Sanrio’s favorite felines in this adorable series featuring Chococat, Noranekoland, Nya Ni Nyu Nye Nyon, and Masyumaro! Tote around some of the cutest bag styles like a mini tote or a classic handbag, while adding some extra flair with the matching plush bag charm!",Chococat,Chococat,Bags,"bag, pouch, face pouch, mini face pouch, embroidered, black",26,Sanrio Cat Club,Single,6.01,None
513458,"Chococat 24"" Jumbo Ribbons Plush",https://www.sanrio.com/cdn/shop/files/513458-Zoom.1_800x.jpg?v=1739573507,"You can never have too much of a good thing! All dolled up with ribbons, ruffles, and lace these extra-large plushies feature your favorite Sanrio Characters dressed up for any occasion. A super-sized and fun design ideal for gifting, this plush is dressed and ready to impress!",Chococat,Chococat,Plush,"plush, jumbo plush, 24'' plush, embroidered, black, blue",210,None,Single,0,None
466468,Chococat Mini Handbag (Sanrio Cat Club Series),https://www.sanrio.com/cdn/shop/files/zz-2502466417_CO_--1_800x.jpg?v=1748047834,"A series that is just purr-fect for cat lovers! Enjoy some of Sanrio’s favorite felines in this adorable series featuring Chococat, Noranekoland, Nya Ni Nyu Nye Nyon, and Masyumaro! Tote around some of the cutest bag styles like a mini tote or a classic handbag, while adding some extra flair with the matching plush bag charm!",Chococat,Chococat,Bags,"bag, handbag, mini handbag, pu, poly, gingham, black, white",26,Sanrio Cat Club,Single,0,None
466395,Chococat Mini Tote Bag (Sanrio Cat Club Series),https://www.sanrio.com/cdn/shop/files/zz-2502466379_CO_--2_800x.jpg?v=1748047836,"A series that is just purr-fect for cat lovers! Enjoy some of Sanrio’s favorite felines in this adorable series featuring Chococat, Noranekoland, Nya Ni Nyu Nye Nyon, and Masyumaro! Tote around some of the cutest bag styles like a mini tote or a classic handbag, while adding some extra flair with the matching plush bag charm!",Chococat,Chococat,Bags,"bag, tote bag, mini tote bag, pvc, poly, white, black, gingham",28,Sanrio Cat Club,Single,0,None
466565,Chococat 15-Pc Mini Sticker Pack (Sanrio Cat Club Series),https://www.sanrio.com/cdn/shop/files/zz-2502466484_CO_--1_800x.jpg?v=1738897479,"A series that is just purr-fect for cat lovers! Enjoy some of Sanrio’s favorite felines in this adorable series featuring Chococat, Noranekoland, Nya Ni Nyu Nye Nyon, and Masyumaro! Tote around some of the cutest bag styles like a mini tote or a classic handbag, while adding some extra flair with the matching plush bag charm!",Chococat,Chococat,Stationery,"stationery, stickers, set",10.99,Sanrio Cat Club,Multiple,3,None
466590,Sanrio Characters Bag Charm Blind Box (Sanrio Cat Club Series),https://www.sanrio.com/cdn/shop/files/zz-2502466590_MX_--1_800x.jpg?v=1748047832,"A series that is just purr-fect for cat lovers! Enjoy some of Sanrio’s favorite felines in this adorable series featuring Chococat, Noranekoland, Nya Ni Nyu Nye Nyon, and Masyumaro! Tote around some of the cutest bag styles like a mini tote or a classic handbag, while adding some extra flair with the matching plush bag charm!","Chococat, Noranekoland, Nya Ni Nyu Nye Nyon, Masyumaro",None,Accessory,"accessory, charm, bag charm,, blind box",9.99,Sanrio Cat Club,Single,0,None
686549,Chococat Mini Round Mascot Plush,https://www.sanrio.com/cdn/shop/files/686549-Zoom.1_800x.jpg?v=1748047829,"In need of a pin-sized friend? Have no fear, Chococat is here! With a round shape and expressive eyes, this mini mascot plush is perfect to have sitting near you on a desk, bedside, or shelf!",Chococat,Chococat,Plush,"plush, 4'' plush, mini plush, embroidered, black, blue",16.99,None,Single,0,None
616141,"Chococat 12"" Plush (Glasses Series)",https://www.sanrio.com/cdn/shop/files/616141-Zoom.1_800x.jpg?v=1739233430,"A little nerdy and playful, but always cool, Chococat comes through with a very “studious” look. Bright blue glasses accent his big eyes which we think is his best feature (don’t you think?) in this ready-for-winter tweed series, brimming with accessories, plush, and m",Chococat,Chococat,Plush,"plush, 12'' plush, embroidered, black, blue",45,Glasses,Single,5.01,None
616702,Chococat Travel Neck Pillow (Glasses Series),https://www.sanrio.com/cdn/shop/files/616702-Zoom.1_800x.jpg?v=1739233466,"A little nerdy and playful, but always cool, Chococat comes through with a very “studious” look. Bright blue glasses accent his big eyes which we think is his best feature (don’t you think?) in this ready-for-winter tweed series, brimming with accessories, plush, and more!",Chococat,Chococat,Travel,"pillow, neck pillow, travel, travel neck pillow, poly, black, gray",34,Glasses,Single,4.01,None
615986,Chococat Zipper Pouch (Glasses Series),https://www.sanrio.com/cdn/shop/files/615986-Zoom.1_800x.jpg?v=1739233405,"A little nerdy and playful, but always cool, Chococat comes through with a very “studious” look. Bright blue glasses accent his big eyes which we think is his best feature (don’t you think?) in this ready-for-winter tweed series, brimming with accessories, plush, and more!",Chococat,Chococat,Stationery,"bag, zipper pouch, pouch, poly, tweed, black, white",27,Glasses,Single,3.01,None
617946,Chococat Knit Scarf (Glasses Series),https://www.sanrio.com/cdn/shop/files/617946-Zoom.1_800x.jpg?v=1748047912,"A little nerdy and playful, but always cool, Chococat comes through with a very “studious” look. Bright blue glasses accent his big eyes which we think is his best feature (don’t you think?) in this ready-for-winter tweed series, brimming with accessories, plush, and more!",Chococat,Chococat,Apparel,"apparel, scarf, knit scarf, acrylic, black, gray",35,Glasses,Single,0,None
673846,Chococat x Sonix Phone Stand,https://www.sanrio.com/cdn/shop/files/Chococat_Phone_Stand_Front_SALES_1_800x.jpg?v=1733874900,"Brighten up your day and desk space with your favorite cool cat, Chococat. His whiskers and expressive eyes adds instant charm and decor to your room, when he’s not doubling as a supercute and handy phone stand. This convenient Sonix x Sanrio character phone stand adjusts to fit your phone and is perfect for video conferencing and watching videos.",Chococat,Chococat,Accessory,"accessory, phone stand, smartphone, acrylic, black",19.99,None,Single,0,Sonix
650927,"Chococat 18"" Plush (Lotta Love Cupid Series) ",https://www.sanrio.com/cdn/shop/files/650927-Zoom.1_800x.jpg?v=1737601070,"We’ve got a whole lotta love to give this Valentine’s Day with the trusty help of your favorite Sanrio Characters—accented with mini-wings and dressed up like Cupid! Show someone how much you care with these balloon heart plushies, brimming with joy. They show someone special “I love you this much!”, while the sitting pose makes it a great friend to have close by!",Chococat,Chococat,Plush,"plush, 18'' plush, embroidered, black, red, pink",75,Lotta Love Cupid ,Single,17,None
651028,"Chococat 10"" Plush (Lotta Love Cupid Series)",https://www.sanrio.com/cdn/shop/files/651028-Zoom.1_800x.jpg?v=1737600972,"We’ve got a whole lotta love to give this Valentine’s Day with the trusty help of your favorite Sanrio Characters—accented with mini-wings and dressed up like Cupid! Show someone how much you care with these heart and arrow plushies, brimming with joy. They show someone special “I love you this much!”, while the sitting pose makes it a great friend to have close by!",Chococat,Chococat,Plush,"plush, 10'' plush, embroidered, black, red",42,Lotta Love Cupid,Single,8,None
944882,"Chococat 16"" Plush (Classic Series)",https://www.sanrio.com/cdn/shop/files/944882-Zoom.1_800x.jpg?v=1748048041,"Chococat tends to be a little scatterbrained at times, but he's always up on the latest news, thanks to his ultra-sensitive, antenna-like whiskers! He takes his name from his chocolate-colored nose.",Chococat,Chococat,Plush,"plush, 16'' plush, embroidered, black",48,Classic,Single,0,None
651621,"Chococat 8"" Plush (Strawberry Treat Series)",https://www.sanrio.com/cdn/shop/files/651621-Zoom.1_800x.jpg?v=1743553841,"Fresh and sweet, let’s get dressed for strawberry season! It’s no surprise Hello Kitty and Friends love a fruit moment, and lucky for us, these pals are dressed in matching outfits, showing off one of Sanrio’s most beloved flavors. Each wears a printed outfit and matching bow or beret, sure to delight many of this delectable berry treat!",Chococat,Chococat,Plush,"plush, 8'' plush, embroidered, pink, black",34,Strawberry Treat,Single,0,None
651974,Chococat Plush Mascot Clip (Strawberry Treat Series),https://www.sanrio.com/cdn/shop/files/651974-Zoom.2_800x.jpg?v=1743553890,"Fresh and sweet, let’s get dressed for strawberry season! It’s no surprise Hello Kitty and Friends love a fruit moment, and lucky for us, these pals are dressed in matching outfits, showing off one of Sanrio’s most beloved flavors. Each wears a printed outfit and matching bow or beret, sure to delight many of this delectable berry treat! Attach this mascot to any bag, tote, or fave set of keys!",Chococat,Chococat,Accessory,"accessory, clip, plush clip, embroidered, black, pink",21.99,Strawberry Treat,Single,0,None
689653,"Chococat 10"" Plush (Tropical Fun Series)",https://www.sanrio.com/cdn/shop/files/689653-Zoom.1_800x.jpg?v=1745513705,Feeling kawaii in your best summer fit! Warm weather and longer nights mean your favorite Sanrio Characters are dressed in the most colorful outfits featuring tropical floral motifs and button-down touches—made for fun in the sun!,Chococat,Chococat,Plush,"plush, 10'' plush, embroidered, black, purple",39,Tropical Fun ,Single,0,None
